name,voice,description,personality,birthday,favorite,weak_point,sex,image_summaries
ホールズ・ブラック,"君はここから逃げられないさ、
絶対にね…♪",銀河を暗躍する大盗賊団の首領に若くして上り詰めた青年。普段は物腰柔らかで紳士的なホールズ・ブラックだが、その内面は冷酷非道で、どんな悪事も涼しい顔でこなす冷血漢として全宇宙で恐れられている。敵対組織の人物を椅子に縛り付けてその向かいに腰掛け、今まさに尋問しようとするその表情は、微笑みの奥に冷たい恐ろしさを秘めているのだった。,穏やかで紳士的だが冷酷非情,1/18,愛用のフェドーラ帽、暗闇,深く立ち入られること、品性に欠ける者,男," ホールズ・ブラックは、背広を着た男性の姿をしています。背広の色は青で、ズボンは黒です。背広には金のボタンがついています。シャツの色は白で、黒色のネクタイを締めています。

また、彼は銀色の髪と青い目をしており、髪型はオールバックです。彼は片手を胸に当て、もう片方の手で帽子のつばを持ち上げており、口元には微笑みを浮かべています。

彼は椅子の背もたれにもたれかかっており、椅子の下には水たまりが広がっています。水たまりは黒く、まるで闇のようです。"
クエリー,"夜空に星の水流れる時、
水瓶座のクエリー、推参だよ♪",みずがめ座を守護星座に持つ、ステラポリスのメンバー。いつも明るく前向きな性格で、強い責任感を持つクエリーは、ステラポリスのリーダーを務めている。愛用のステラピストルを手に笑顔でポーズを決める彼女の爽やかな姿は、見る者に幸せを与えていく。,明るく元気、責任感が強いしっかり者,1/20,歌うこと、踊ること、音楽全般,喧嘩や口論,女, クエリーは、モンスターストライクというゲームのキャラクターです。彼女は緑の髪と黄色の目をしており、オレンジ色の帽子と黄色のドレスを着ています。また、銃を持っており、銃口から光が出ています。
パーシィ,"二匹の魚が引かれ合う時…
魚座のパーシィ、参上ですわ♡",うお座を守護星座に持つ、ステラポリスのメンバー。宇宙的に有名な大富豪の箱入り娘として生まれ育ったパーシィは、世俗に疎く天然でマイペースな性格で、個性派揃いのステラポリスメンバーの中でもとりわけ独特な空気を纏い、ファンの注目を集めている。愛用の無線機マイクを手に歌う彼女の愛らしい姿は、見る者に癒しを与えていく。,おっとりしていてマイペース、天然気味な不思議系,2/19,ドーナツ、動物全般,周りのペースに合わせること,女," パーシィは、緑色の髪と目をした少女です。髪は短く、緑色の帽子をかぶっています。帽子には、黄色の星型のバッジが付いています。彼女は、黄緑色のジャケットを着ていて、その下には白いシャツを着ています。スカートは青色で、紫色のネクタイを締めています。ニーソックスは緑色で、黄色のスニーカーを履いています。

彼女は、左手でマイクを持っていて、右手でピースサインをしています。また、彼女の周りには、紫色の音符が漂っています。"
アリナ,"黄金の羊が輝く時、
おひつじ座のアリナ、見参！",おひつじ座を守護星座に持つ、ステラポリスのメンバー。体を動かすことが大好きで、ステラポリスメンバーの中でも屈指の身体能力を持つアリナは、ダンス担当として活躍している。愛用のサスマタステッキを手に踊る彼女の躍動感あふれる姿は、見る者に元気を与えていく。,活発でエネルギッシュ、竹を割ったような性格,3/21,体を動かすこと、スポーツ全般,じっくり考えること,女," アリナは、赤い髪と青い目で、身長は低めです。
彼女は赤い帽子をかぶり、赤い手袋をしています。
赤い服を着ており、服には白い星がたくさんついています。
また、赤いスカートを身に着けています。
彼女は魔法の杖を持っており、杖には赤い宝石がついています。"
エスカトロジー,"罪深き人間たちよ…
天の裁定を聞くが良い…",人類に神の裁きを告げるべく天界より現れた、天の裁判官。人のみではなく悪魔や天使さえも裁く力を持っている。彼女が従える終末兵器である双頭の蛇竜・パラスとコラスは、それぞれ天国と地獄を司っており、彼女が判決を下したとき、天秤皿から判決に応じた力を放つ。,静かで冷徹、感情を表に出さない,,秩序,裁きに抗う者,女," エスカトロジーは、緑色の髪と赤い目で、頭に角が生えた女性の姿をしています。
彼女は緑色のドレスを着て、黒いマントを羽織っています。
彼女の足元には、2匹のドラゴンが鎖でつながれています。
彼女は片手に杖を持ち、もう片方の手には本を持っています。
杖にはドクロの装飾が施されており、本には魔法陣が描かれています。
彼女は高貴な雰囲気を漂わせ、ドラゴンを従えるにふさわしい威厳を持っています。"
マナ,"ストライクショット♪ 
…私、上手くできましたか？",アメリカから日本へやって来た中学生の少女。アメリカの友人から誤った日本文化を教えられており、たまに不思議な言動をとることがある。実は、人間とモンスターとの間に生まれ、そのどちらの血も引いているのだが、本人はまだそのことを知らない。,誰にでも分け隔てなく優しい。ちょっと天然な部分も,12/26,友だち、日本の食べ物（ラーメン、焼き鳥など）,争いごと,女," マナは、モンスターストライクというゲームのキャラクターです。
彼女は、金髪で青い目をした、とてもかわいい女の子です。
彼女は、私立恵比寿中学に通う、中学2年生です。
彼女は、とても勉強が得意で、成績は常にトップクラスです。
また、彼女は、運動も得意で、バスケットボール部に所属しています。
彼女は、とても正義感が強く、困っている人を見かけると、すぐに助けてあげます。
彼女は、とても友達思いで、友達が困っていると、いつも親身になって相談に乗ってあげます。
彼女は、とても優しい子で、いつも周りの人を笑顔にしてくれます。"
ネオン,ついにあたしもステージデビュー♪,リバティの魔法でブロードウェイの看板から飛び出した少女。人々に驚きを与え、拍手喝采を得られるような存在になることを目標に、自分が飾られていた劇場でステージデビューを果たした。,明るく前向き、お調子者,7/3,ステージ、体を動かすこと,静かな場所,女," ネオンは、ピンクの髪に紫色の目をした少女です。
彼女は紫色のシルクハットと燕尾服を着ており、手にはステッキを持っています。
彼女は背が高く、スリムな体型をしています。
彼女の性格はいたずら好きで、陽気です。
彼女はいつも笑顔で、人々を笑わせることが大好きです。
彼女はまた、とても親切で、思いやりのある女の子です。
彼女はいつも友達のことを気にかけていて、彼らが困っているときはいつでも助けようとします。"
ゴッサム,,リバティの魔法により命を持った、博物館に収蔵されていた石像。その正体は、数百年前にとある民族が独自の宗教観の中で作り出した天使で、主に呪術のために祀られていたものだった。,凶暴、邪悪,,,,男, ゴッサムは、筋肉質で、悪魔のような姿をしています。彼は、赤い肌、とがった耳、そして尻尾を持っています。彼はまた、背中にコウモリのような翼と、頭には角を生やしています。彼は、恐ろしい表情で、口を開けて、鋭い牙を見せています。彼は、黒いマントを身に着けており、腰には鎖が付いています。彼は、右手に剣、左手に盾を持っています。彼は、まるで、これから戦いにでも行くかのような姿をしています。
マキシマムターキー,"スタジアムは占拠した！
さあ、派手にやろうぜ！",リバティの魔法によって命が宿った、とあるアメリカンフットボールチームのマスコットキャラクター。アメフトを愛するがあまり、自分と同じく命が宿った他のマスコットたちと結束してスタジアムを占拠し、強引に試合を敢行する。,豪胆でワイルド,11/23,トレーニング、観客の歓声,栄養の偏った食事,男, マキシマムターキーは、緑のユニフォームを着た七面鳥のキャラクターです。彼は赤いヘルメットと青いスパイクを身に着けています。彼のユニフォームには、胸に大きな七面鳥の顔が描かれています。彼はまた、腰に紫色のベルトを身に着けています。彼はアメフトボールを持っています。彼は怒った表情で、口を開けて歯を見せています。彼の目は赤く、決意に満ちています。彼は両手を広げて、アメフトボールを持っています。彼は筋肉質で、力強そうに見えます。彼は七面鳥の頭と首を持ち、体は人間のような体格をしています。彼は茶色の羽を持っています。
グラフィティ・G,,リバティの魔法によって実体化したグラフィティアート。大勢の人々に注目されることを目的に描かれたため、実体化したあとも人間を驚かせることだけを追い求め、住人たちを襲う迷惑な存在と化してしまった。,享楽的で自己顕示欲が強い,,街をメチャクチャにすること,外壁洗浄作業,男, グラフィティ・Gは、紫色の肌と緑色の髪を持つ骸骨のような姿をしています。彼はサングラスをかけていて、口を開けて笑っています。彼は右手にスプレー缶を持ち、左手を壁に置いています。壁には赤いスプレーで描かれた落書きがあり、その落書きは彼を包み込もうとしています。彼の背中には赤い羽が生えており、頭には黄色い角が生えています。
リバティ,"ニューヨークを私の魔法で
染め上げちゃうよ～♪",ニューヨークに現れたいたずら好きの魔女。楽しいことや人を驚かせることが大好きで、街のみんなにパーティー気分で盛り上がって欲しいという気持ちから、様々なものに魔法をかけて命を吹き込んで回っている。,無邪気でいたずら好き、女王様気質,7/4,楽しいパーティー、人をビックリさせること,退屈なこと、寂しいこと,女," リバティは、黒人女性の姿をしたキャラクターです。
髪は金色で、頭にはウサギの耳のようなものが生えています。
目は緑色で、まつ毛が長く、少しつり上がっています。
鼻は小さく、唇は厚めです。
体はグラマラスで、胸が大きく、腰が細いです。
服装は、白を基調とした軍服のようなもので、胸元にはハートのマークがついています。
また、鞭を持っており、それをくるくると回しています。
足元には、4人の兵隊の人形のようなものがおり、彼女を守っているようです。"
ミスターエンパイア,"Here comes Mr.Empire…
Get ready！",リバティの魔法によりアメコミから飛び出したヒップホップをこよなく愛するダークヒーロー。ニンジャさながらに音もなく敵の側に忍び寄るが、戦う前に大ボリュームで自己紹介をするためすぐに気づかれるのがお約束。,ニヒルで義侠心に厚いアウトロー,4/11,ヒップホップ、スシ、テンプラ、ゲイシャ,ジャパニーズエンカ（グルーヴが難しくてうまくノれないから）,男, ミスターエンパイアは、モンスターストライクというゲームのキャラクターです。彼は、オレンジ色の髪とサングラスを身に着けた、筋肉質な男性です。彼は、銃と刀を装備しており、戦闘員であることが伺えます。彼はまた、派手な服装をしており、エンパイアという名前の通り、皇帝のような雰囲気を持っています。
アップル,私が来たから、もうヘーキだよっ！,リバティの魔法で命が宿り、人の姿となったテディベアの少女。大好きなニューヨークの平和を守るため、パルクールのように街中を軽快に飛び回りながらパトロールに励む。,明るく快活、正義感が強い,5/3,ニューヨークの街、アップルサイダー,じっとすること,女," アップルは、モンスターストライクというゲームのキャラクターです。
彼女は、赤いフード付きジャケット、黒いズボン、赤いスニーカーを身に着けています。
彼女はまた、長い金色の髪と緑の目をしています。
彼女は、頭の上にクマの耳のようなものをつけています。
彼女は、とてもかわいくて、元気な女の子です。"
アルマゲドン,"世界の存続と破滅、
どっちが相応しいかな？",世界の罪を取り除くことを目的とした天の御使いであり、七つの星を司る天界の代行者。天から人間界へ降り立ち、果たしてこの世界は必要か否か、無邪気な笑みを浮かべながら判断しようとしている。アルマゲドンが乗る羊に似た幻獣・フラティスは創星獣と呼ばれる存在であり、彼と共に戦い彼を守る、保護者的な役割を担っている。また、ラグナロクの幻獣と同じく終末兵器としての役割も持つ。,無邪気で無慈悲、好奇心旺盛,,面白そうなこと、フラティスの背中,面白くないこと,男," アルマゲドンは、モンスターストライクというゲームに登場するキャラクターです。

アルマゲドンは、羊のような姿をしたモンスターで、全身が白い毛で覆われています。
アルマゲドンの角は金色で、先端が鋭く尖っています。
アルマゲドンの目は青色で、瞳孔は縦長になっています。
アルマゲドンの体は筋肉質で、四肢には鋭い爪が生えています。
アルマゲドンの尻尾は長く、先端には房が付いています。

アルマゲドンは、非常に強力なモンスターで、その力は世界の終末をもたらすほどと言われています。
アルマゲドンは、普段は平和な性格をしていますが、怒らせると非常に凶暴になります。

アルマゲドンは、モンスターストライクのストーリーの中で重要な役割を果たすキャラクターです。
アルマゲドンは、主人公の敵として登場しますが、後に主人公の味方になります。
アルマゲドンは、主人公と共に世界の終末を阻止するために戦います。"
ロゼ准尉,"任せな…
獲物は必ず仕留めてやるさ…",戦いで家族を失い一人で街をさまよっていたところをバーボンに保護され、育てられた過去を持つロゼ。成長し、バーボンを追って入軍すると、飛び抜けた活躍を見せ特殊部隊へと配属される。そこでマティーニの目にとまり、非合法の暗殺任務に駆り出されるようになった。感情豊かな普通の少女だったロゼは、その壮絶な任務の影響で残虐性が顕れ、好戦的なキリングマシーンへと変貌を遂げた。,好戦的で残虐,5/20,獲物の悲鳴、バーボンの兄貴のくだらないジョーク,必要とされなくなること、失望されること,女," ロゼ准尉は、赤い髪をしており、左目に眼帯をしています。
口にはナイフをくわえており、険しい表情をしています。
上半身には、緑のベストを着ており、腰には拳銃を下げています。
下半身には、紺色のズボンを身に着けています。
また、右腕には包帯を巻いています。"
ソルティドッグ二等水兵,"ハッハッ…
自分、働きすぎな気がするワン！",アルカハル帝国の二等水兵として日々汗水たらして働く、二足歩行するブルドッグ。昔、おなかがすいてボーッとしていたときに通りかかったマティーニにおやつを貰ったことがあり、それ以来マティーニの忠実なしもべを自称して、彼女に懐いている。,真面目で働き者、不満を溜め込むタイプ,11/1,マティーニ少将、ごはん、撫でられること,上官から叱られること、激しい運動,男, ソルティドッグ二等水兵は、モンスターストライクというゲームに登場するキャラクターです。彼はパグ犬のような姿をしています。ソルティドッグ二等水兵は、とても勇敢なキャラクターで、いつも海賊と戦っています。彼は、大砲を使って海賊を倒します。ソルティドッグ二等水兵は、とても人気のあるキャラクターで、多くのプレイヤーに愛されています。
バーボン軍曹,"いい軍人ってのは、
武器の手入れも一流なんだぜ♪",あらゆる武器を使いこなすことができる、武器マニアの軍曹。マティーニと共に数多の死線をくぐり抜けてきたその戦闘能力の高さと、陽気で気さくな性格で、仲間たちから慕われている。戦いで家族を失い一人で街をさまよっていたロゼを保護して育てた過去を持ち、ロゼのことは実の妹のように思っている。,豪快、陽気で気さく、お人好し,6/14,武器、武器のメンテナンス、ジョーク,弱音を吐くこと,男, バーボン軍曹は、緑の髪と茶色の目をした、筋肉質の男性です。彼は、軍曹の階級章が付いた、緑と青の迷彩服を着ています。また、彼は、銃弾のベルトと、手榴弾の入ったベストを身に着けています。彼は、右手に銃を持ち、左手を銃の銃身に添えています。彼は、真剣な表情で、前方を見つめています。
マティーニ少将,"作戦を伝える！
規律をもって速やかに遂行せよ！",数多の死線をくぐり抜けてきた厳格で気高い、アルカハル帝国の女少将。全身を武装化しており、状況に応じて身体を変形させて戦闘を行う。前線で戦い続けることを好み、戦場について他の将軍たちにはない現場感覚を備えているため、部下から厚い信頼を寄せられている。,厳格で規律を重んじるリアリスト,10/23,勝利、前線、犬,敗北、撤退、規律を乱す者,女," マティーニ少将は、銀色の長髪と赤い目をした若い男性です。彼は青い軍服を着ており、軍帽には赤い羽飾りが付いています。彼はまた、右腕に金属製の義手を付けています。

マティーニ少将は、意地悪そうな性格をしており、部下に対して高圧的な態度をとることがよくあります。しかし、彼にはお茶目な一面もあり、部下たちから慕われています。

マティーニ少将は、強力なエ Esper であり、彼の能力は「重力」を操るものです。彼は、この能力を使って、敵を拘束したり、攻撃したりすることができます。

マティーニ少将は、物語の序盤で登場する敵キャラクターですが、後に主人公たちの仲間になります。彼は、主人公たちの力となり、彼らを勝利に導きます。"
オニキス,"あいつら…俺に構うなと
何度言ったら分かるんだ…",魔法学園にやってきた転校生。非常に高い魔法能力をもっていながら、人から注目されることを嫌うため、他人と距離をとって実力を隠している。自分の派閥に入るようしきりに誘ってくるアレキサンドライトのことは煩わしく思いつつもその魔力の強さは認めており、一方、クリスタルには何か自分に似たものを感じている。,寡黙な一匹狼で、ニヒリスト,4/11,一人になること、カラスたち,目立つこと、注目されること,男," オニキスは、紫色の髪と赤い目をした少年です。
彼は、紫色のスーツと黒いシャツを着ています。
また、首には赤いネクタイを締めています。
彼は、右腕に黒い手袋をはめており、左腕には鎖を巻きつけています。
彼は、カラスを従えています。"
クリスタル,"アレキ先輩の前で、
格好悪い所は見せられません…",魔法学園に通う少女。実家が古武術の道場であり、自身も武術、剣術、棒術など一通りの戦闘術に精通している。成績も優秀で文武両道だが、無口で感情表現が苦手。そんな自分を何かと気にかけてくれるアレキサンドライトのことは、可愛くて強くて優しい先輩だと尊敬している。,寡黙で清楚、感情表現がうまくできない,7/3,アレキ先輩、静かな場所,人との距離、心を開くこと、お喋り,女," クリスタルは、モンスターストライクというゲームのキャラクターです。
彼女は、長い青い髪と青い目をした若い女性です。
彼女は、紺色のジャケットとスカートを着て、白いニーハイソックスを履いています。
彼女はまた、首に赤いスカーフを巻いており、左腕に氷の結晶のようなものを身に着けています。"
アレキサンドライト,"可愛い後輩たちに、
あたしが一番って
教えてあげなくっちゃ♪",魔法学園に通うユニコーン亜人種の少女。頭に生えたユニコーンのツノには魔力が充填されており、魔力を解放すると普段の幼い少女から成長した姿へと変化する。オニキスやクリスタルよりも一学年上の二年生であり、オニキスの高い魔法能力を見込んで自分の下僕にしようとしたり、自分を差し置いて校内一の美人と呼ばれているクリスタルに絡んでみたりと、何かと二人を引っ掻き回している。,高飛車でおせっかいやき、天の邪鬼な一面も,2/2,可愛くて優秀な自分、クリスタル（無口で不器用なところが可愛い）、オニキス（自分を無視するところはムカつくけど見た目が好みだし強いから）,言うことを聞かない相手、ツノを触られること,女," アレキサンドライトは、ピンクの髪と赤い目をした少女です。
彼女は黒いセーラー服を着ており、スカートには赤いリボンが付いています。
また、黒いニーハイソックスを履き、赤いリボンで結んでいます。
アレキサンドライトの髪には、赤い宝石の髪飾りがあり、頭には一本角が生えています。
彼女は右手を口元に当てており、いたずらっぽい表情をしています。"
ミューラン,"来な！リアルなバトルってのを
教えてあげるよ！",凶暴化した神獣により壊滅的な打撃を受けた都市は、ある程度の復興を果たしたが、住人たちには格差が生まれ、スラムが形成されるほどとなっていた。喧嘩士として名を馳せるホッキョクウサギの獣人ミューランは、自分の住むスラムに現れたよそ者の勇者に対し、挑発的な態度で対峙する。,負けず嫌いなリアリスト,7/11,バトルすること,理想主義的な考え方,女," ミューランは、モンスターストライクというゲームに登場するキャラクターです。
彼女はウサギの獣人で、白い毛並みと青い目を持っています。
彼女はまた、大きな耳と尻尾を持っています。
彼女は、黄色いベストとズボンを着ており、両手にはボクシンググローブをつけています。
彼女はまた、頭にはヘッドバンドをつけており、そのヘッドバンドには時計のようなものがついています。"
ブルリオ,"この戦い、
我が名誉とするに相応しい！",北方の大地にそびえる大雪山。その断崖に暮らすドワーフ族には、世界に災厄を招く悪神に立ち向かうことがドワーフの戦士の最高の名誉として語られていた。悪神により凶悪化した神獣の封印が解けかけているとの噂を聞き、ブルリオは一族の誇りを胸に戦いに赴く。,豪快で勇猛な伊達男,5/7,誇り高きドワーフ族たち,曲がったこと、軟弱なふるまい,男," ブルリオは、モンストに登場するキャラクターです。
彼は、白くて長いひげを生やした老人で、緑色のズボンと黄色のシャツを着ています。
また、彼は、頭には兜をかぶり、両手には鎖と鍵を持っています。
彼は、とても強そうに見えます。"
ゲルナンド,見よ、これが魔導の本質だ…,神獣を封印した功績を認められ叙勲を受けた貴族の家系に生を受けた青年。幼少期、家督争いに巻き込まれ命を狙われる身となったため修道院に預けられ、そこで学者として魔法を修めた。神獣が覚醒の兆候を見せたため正式に家督を継ぐこととなり、勇者として旅立った。,真面目で理知的、世間知らずで人を疑うことを知らない,2/18,魔法の修練,混沌、混乱,男," ゲルナンドは、赤いコートと青いマフラーを身に着けた少年です。
左手に本を持ち、右手は炎を灯しています。
また、金色の髪と青い目を持っています。"
セイミー,"私に力があるなら、
必ず成し遂げてみせるわ！",暴走した神獣により荒廃してしまった北方の大地に住む、ダークエルフの少女。他種族と協調しない保守的な生き方のダークエルフ族には珍しい、社交的で進歩的な性格の持ち主。占いにより自身に神獣と戦う力があることがわかり、居ても立ってもいられなくなり掟を破って里を飛び出した。,明るくポジティブで社交的、正義感が強い,4/22,初めての世界に触れること、知らない人に出会うこと,問題から目を背けること,女," セイミーは、緑色の髪と肌を持ち、サンタクロースのような衣装を着ています。
彼女は時計の文字盤のような盾と、その盾に突き刺さった槍のような武器を持っています。
また、彼女の背中には炎のようなものが燃えています。"
ガラゴーラ,"儂はガラゴーラ、
闇に立ち向かう智慧を授けよう…",聖域の秩序を司り守護する神獣。歯車の呪いから解放されたことで凶々しい悪気は消え去り、本来の荘厳な姿を取り戻した。その身に携えた二体の蛇とともに、広き北方の大地を暖かく見守る。,聡明で心優しい,,,,男," ガラゴーラは、緑色の亀のような生き物で、頭に2匹のヘビが巻き付いています。
ヘビは、ガラゴーラの頭頂部から出てきており、ガラゴーラの顔の両脇で垂れ下がっています。
ガラゴーラの体は、緑色の鱗で覆われていて、背中には大きな甲羅があります。
甲羅には、金色の装飾が施されており、ガラゴーラの首には、巻物のようなものが巻かれています。
ガラゴーラの足は、短くて太く、指には鋭い爪が生えています。
ガラゴーラの目は、黄色で、つり上がっています。
ガラゴーラの口は、大きく裂けていて、鋭い牙が並んでいます。"
ミロク,始めよう…この宇宙の再生を。,この世の一切衆生を救うため、はるか未来の世界に現れると言われる存在、ミロク。常に他者と距離をおき素性を明かさないが、己の目的を妨げる相手に対しては、静かな佇まいや細い体から想像もつかない尋常ならざる力と速さの剣さばきを見せる。,大きく感情を見せないが、冷徹な一面も持つ,56億7000万年先の未来,,己の目的を妨げるもの,女," ミロクは、黒いショートヘアに、銀色の目をした女性です。
彼女は、青いコートと黒いズボンを身に着けています。
また、彼女は、右手に大きな剣を持っています。
彼女の剣は、赤く光っています。"
ラグナロク,"待たせたな！
世界を終わらせに来たぜ！",世界を終わらせるため降臨した天の御遣いの少女。正義か悪かの二元論で語ることが多く、己の使命を絶対的正義と自負している。彼女とともに降臨した人語を理解する鹿のような姿の幻獣・エダは、異次元から無限の破壊的エネルギーを取り出すことが可能な終末兵器としての機能を持っており、また、自身がその終末への扉としての役割も担っている。,向こう意気が強い、思考が短絡的で思い込みが激しい,,肉弾戦,複雑な思考、白黒はっきりしないもの,女," ラグナロクは、赤い髪と赤い目をした少女です。
彼女は赤いチャイナドレスを着て、右腕に大きな機械の腕をつけています。
また、彼女は黒い牛のような生き物を鎖でつないでいます。
この生き物は、口から炎を吐くことができます。"
キャリック,"天気は良いし波も穏やか、
のんびりいきましょう♪",いつものんきでマイペースな空母の青年。特注の空母型浮き輪に座って、ドラム缶型のジュースで燃料を補給し、日光浴を楽しんでいる。,マイペースなのんびり屋,12/16,日光浴、オイル,突然の敵機襲来、大嵐,男," キャリックは、金髪碧眼で、髪を下ろし、白い軍服を着ています。軍服には金色の装飾があり、帽子には赤い羽根が付いています。また、ゴーグルを着用しています。

彼は、軍艦の浮き輪に乗っており、片手に飲み物を持っています。もう片方の手は、浮き輪の鎖にかけられています。彼は、リラックスした表情で、楽しんでいるようです。

キャリックは、モンスターストライクというゲームのキャラクターです。彼は、水属性のキャラクターで、艦隊を率いる提督です。"
カレン・ネイヴィス,見つけたぞ海賊…覚悟しろっ！,道義のない海賊の氾濫に嫌気が差し、取り締まる側へと転向した元海賊の女性提督。肩に相棒のリスザルを乗せて海軍服に身を包み、発見した海賊たちを前に不敵に笑う。,厳粛、勇猛果敢,6/2,美しい海、相棒のリスザル,自分の海を荒らす海賊,女, カレン・ネイヴィスは、金色の髪をしており、髪型はポニーテール、左目に眼帯をつけています。白い軍服を着ており、軍帽には⚓のマークがついています。また、軍服には勲章のようなものがたくさんついています。左腕には双眼鏡、右手に剣を持っています。彼女の口元には余裕のある笑みが浮かんでいます。
リーベ,手旗信号って難しいよぉ～…,いつか自分の船を持ち偉大な船長になることを夢見る新米水兵。信号係に任命されて手旗信号で味方の船に連絡を送ろうとするものの、まだまだ慣れずに大慌てしている。,真面目で頑張り屋だがおっちょこちょい,3/4,自分の船を思いっきり走らせること,難しいことを覚えること,女," リーベは、モンスターストライクというゲームに登場するキャラクターです。
彼女は、元気で明るい性格の女の子で、いつも笑顔を絶やしません。
リーベは、水色の髪と青い目をしており、頭には白い帽子をかぶっています。
彼女は、白いセーラー服を着ており、スカートには緑色の葉っぱの模様が入っています。
リーベは、足に赤いスニーカーを履いており、手には黄色い旗を持っています。
彼女は、旗を振って、人々を導いています。"
サン・カモメーノ,"オレは、
この海で一番アブない男ッス…",港から港へと渡りゆく風来坊な水兵。立ち寄った港の数だけ恋人がいるプレイボーイ（本人談）で、常にダンディな佇まいを心がけている。,ナルシストで小心者,7/1,オレの愛した女たちッス…,ワシとかハヤブサとか…猛禽類は怖いッス…,男, サン・カモメーノは、モンスターストライクというゲームに登場するキャラクターです。サン・カモメーノは、カモメの様な風貌をしており、白い羽根と黄色の嘴が特徴的です。また、サン・カモメーノは、サングラスをかけており、口にはパイプをくわえています。彼は、いかにも船長のような風貌をしています。
アルビダ,"おーっし、
次はあの海を冒険するよっ♪",退屈な王宮生活から抜け出し、海賊となった王女。手にした地図を広げ、相棒のシャチと共にまだ見ぬ冒険に心を踊らせる。,姉御肌、明るくポジティブで猪突猛進,9/19,冒険、自由、相棒のシャチ,束縛されること、決められた路を進むこと,女," 画像には、アルビダという名の少女が描かれています。
彼女は、ワンピースという漫画のキャラクターで、海賊をしています。
彼女は、麦わら海賊団の敵として登場しました。

アルビダは、金髪で碧眼の少女です。
彼女は、身長が高く、スリムな体型をしています。
彼女は、海賊らしく、黒いコートを着ています。
コートには、金色の装飾がされています。
彼女は、黒いブーツを履いています。

アルビダは、シャボンディ諸島で麦わら海賊団と出会いました。
彼女は、麦わら海賊団を襲撃しましたが、ルフィに倒されました。
彼女は、その後、海軍に逮捕されました。"
エドワード・ティーチ,"恐れおののけ！
海賊黒髭たぁ俺のことよぉ！",悪逆の限りを尽くし、世界に名を轟かせた大海賊エドワード・ティーチ。海軍の総力を上げた攻勢を受け遂にその命に終わりが訪れたが、死してなお尽きることのない欲望は現世にとどまり、幽霊船の船長として姿を現した。,豪快で残忍、無慈悲な荒くれ者,,財宝、美味いもの、美人な女,俺に苦手なモンなんかねえ！,男, エドワード・ティーチは、黒ひげ海賊団の船長で、カリブ海で最も恐れられた海賊の一人です。彼は背が高く、筋肉質で、黒い髪とあごひげを生やしています。彼はいつも海賊帽をかぶり、片手に剣、もう片方に拳銃を持っています。彼はまた、左腕にどくろの刺青をしています。エドワード・ティーチは、残忍で冷酷な海賊として知られており、彼の旗を見ただけで、多くの船員が恐怖に震えたと言われています。
バーソロミュー・ロバーツ,"このブラック・バートが
海賊の流儀ってやつを
教えてやるよ！",溢れ出る気品と高い知性により、幼いながらも大船団を率いる少年海賊。動物さえも従わせる事ができるそのカリスマ性で、アライグマを部下にして爆弾作りを手伝わせる。,理知的でスマート,5/17,統率されたもの、スマートなもの,統率されていないもの、煩雑なもの,男, 画像には、バーソロミュー・ロバーツというキャラクターが描かれています。彼は、茶色の髪と赤い目で、頭にはゴーグルをつけています。白いコートを着て、腰には爆弾のようなものをつけています。左腕には包帯を巻いており、右腕にはタヌキのような動物がしがみついています。彼は、片手に爆弾を持ち、もう片方の手でタヌキのような動物を抱えています。彼は、海賊のような服装をしています。
カナン,"見てなさい！
あたしのＧペンが世界を変えるわ♪",世界的にも有名な超売れっ子の現役女子高生漫画家。容姿も頭もよく、自分と自分の作品に絶対の自信を持っている。裏表のない性格とあふれるカリスマ性から、学校でも教師生徒問わず人気を集めている。,強気で勝気、自分最強,11/26,自分の描いた漫画、キラキラしたもの、可愛いネイル,テンション低い人,女, カナンは、モンストルオズというゲームのキャラクターです。彼女は、黄色い髪と緑色の目で、頭にはピンク色の大きなリボンをつけています。彼女は、紫色のセーターと、ピンク色のスカートを身に着けています。彼女は、漫画家志望で、いつも漫画を描いています。彼女は、漫画を描くことが大好きで、いつも新しい漫画のアイデアを考えています。彼女は、漫画家として成功することを夢見ています。
Two for all,"「トップになるよ、私たち」
「うん！頑張るニャン♪」",アニメ「モンソニ！ダルタニャンのアイドル宣言」で結成された新人アイドルユニット。元気が取り柄のダルタニャンと、ひたむきな性格の紫苑で構成されている。,,,,,," Two for allは、モンスターストライクというゲームのキャラクターです。
彼女は猫耳と尻尾を持つ少女で、運動着のような服装をしています。
髪は茶色で、目は青色をしています。
彼女はいたずら好きで、よく友達をからかっています。
また、彼女はスポーツ万能で、特に陸上競技が得意です。"
